METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.008447,2.612284,1.153515,2.536036,2.841093,2.859572,2.514068,2.634338,4.003532,3.974966,2.813785
_10_RMS_log,0.314106,0.391547,0.146201,0.331782,0.346255,0.353387,0.352945,0.354468,0.468706,0.483510,0.354291
_10_SILog,0.022905,0.054640,0.006677,0.032059,0.045900,0.092696,0.031308,0.050168,0.058929,0.070990,0.046627
_10_abs_rel_diff,0.312026,0.273922,0.121343,0.268586,0.290982,0.281353,0.267860,0.272822,0.425337,0.420319,0.293455
_10_mean_depth_error,2.744723,2.403619,1.058232,2.382522,2.541263,2.491744,2.356402,2.399730,3.838470,3.789773,2.600648
_10_mean_prediction_depth,9.823323,7.165145,8.272901,7.942198,7.867352,8.628670,7.553653,7.480744,10.087204,9.573310,8.439450
_10_mean_target_depth,8.852573,8.694196,8.863305,8.907688,8.849618,8.662622,8.896023,8.897471,9.042605,8.868359,8.853446
_10_median_diff,2.535030,2.227490,0.965615,2.186698,2.171137,1.985941,2.231387,2.150872,3.710663,3.645367,2.381020
_10_median_prediction_depth,9.694134,7.109199,8.268075,7.841154,7.667595,8.376536,7.512759,7.275823,10.006420,9.528858,8.328055
_10_median_target_depth,8.913724,8.732149,8.907484,8.962933,8.960599,8.703065,8.967666,8.939246,9.103458,8.919267,8.910959
_10_squ_rel_diff,0.185081,0.137865,0.029782,0.126774,0.153045,0.153719,0.124457,0.145657,0.356043,0.335824,0.174825
_10_threshold_delta_1.25,0.476857,0.450849,0.846779,0.474123,0.403693,0.472685,0.453290,0.460787,0.355882,0.344197,0.473914
_10_threshold_delta_1.25^2,0.790467,0.715120,0.944020,0.771224,0.771356,0.773588,0.752542,0.771835,0.639780,0.611438,0.754137
_10_threshold_delta_1.25^3,0.937284,0.836672,0.983248,0.903123,0.920872,0.884357,0.894201,0.890197,0.812167,0.764692,0.882681
_20_RMS_linear,4.412758,2.834098,2.153442,3.128945,3.314868,3.728533,2.959883,2.847023,5.190389,5.508542,3.607848
_20_RMS_log,0.260659,0.214200,0.122234,0.204277,0.219894,0.245238,0.204975,0.213429,0.296933,0.313492,0.229533
_20_SILog,0.027353,0.048720,0.013397,0.038139,0.042479,0.062357,0.039104,0.049890,0.047660,0.059650,0.042875
_20_abs_rel_diff,0.260759,0.154766,0.089540,0.161320,0.170519,0.196929,0.155253,0.153570,0.286018,0.300213,0.192889
_20_mean_depth_error,3.692680,2.122707,1.309135,2.301373,2.322444,2.659635,2.149385,2.061081,4.164319,4.353716,2.713647
