METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.419625,3.704511,3.474467,4.158653,4.053004,4.967715,4.138335,4.056137,6.465041,6.728568,4.816606
_mean_prediction_depth,35.469597,32.343581,28.357670,29.833610,32.400395,29.998394,34.884438,30.780356,39.986840,40.002211,33.405709
_mean_target_depth,35.570346,32.394632,28.364337,29.835583,32.419500,29.996082,35.002140,30.786145,40.092912,40.033048,33.449472
_median_diff,1.730830,1.719421,1.695042,1.814976,1.690765,2.198568,1.789857,2.033470,2.272037,3.413693,2.035866
_median_prediction_depth,33.908230,30.101619,25.921124,27.393421,30.068099,27.626090,32.585637,28.275098,39.243859,40.385490,31.550867
_median_target_depth,32.714516,28.672257,24.652460,25.904067,28.636162,25.829700,31.263374,26.477164,38.032554,38.685088,30.086734
_squ_rel_diff,0.066947,0.031108,0.031338,0.041483,0.041529,0.059683,0.036667,0.037426,0.065481,0.074348,0.048601
_threshold_delta_1.25,0.668415,0.873647,0.883161,0.811220,0.839658,0.750313,0.867396,0.830365,0.749443,0.728542,0.800216
_threshold_delta_1.25^2,0.939925,0.976678,0.973110,0.960903,0.966849,0.941065,0.978226,0.973244,0.948944,0.933942,0.959289
_threshold_delta_1.25^3,0.990195,0.993581,0.991967,0.990665,0.991094,0.983051,0.993910,0.992525,0.989167,0.984383,0.990054
