METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.287193,4.738668,5.091286,4.164624,4.613095,5.045040,4.926582,4.844931,6.389682,6.913091,5.301419
_mean_prediction_depth,35.140894,32.177285,28.194122,29.607431,32.236641,29.853600,34.749952,30.744804,39.881800,39.606315,33.219284
_mean_target_depth,35.549483,32.400786,28.353215,29.755777,32.374403,29.958761,35.061907,30.789704,40.085153,39.912842,33.424203
_median_diff,2.162341,2.319326,2.244034,2.628100,3.021478,2.852692,2.813541,3.480826,2.833763,3.700623,2.805672
_median_prediction_depth,34.412429,30.878258,26.777809,28.402822,31.592339,28.407043,33.994355,29.911192,40.391733,40.527344,32.529532
_median_target_depth,32.647292,28.651900,24.615630,25.842409,28.593693,25.784673,31.272773,26.473604,38.034454,38.554946,30.047137
_squ_rel_diff,0.076953,0.060537,0.093513,0.050373,0.056064,0.077542,0.048198,0.063101,0.070495,0.093225,0.069000
_threshold_delta_1.25,0.678976,0.786877,0.750644,0.808355,0.788684,0.761240,0.807770,0.753797,0.758060,0.716010,0.761041
_threshold_delta_1.25^2,0.935001,0.949208,0.932422,0.959424,0.949310,0.936930,0.963960,0.935911,0.952225,0.926917,0.944131
_threshold_delta_1.25^3,0.986612,0.983397,0.978469,0.987263,0.983474,0.980462,0.988918,0.978611,0.987364,0.979279,0.983385
