METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_30_threshold_delta_1.25^2,0.868029,0.892645,0.772639,0.735359,0.681921,0.641799,0.849661,0.704832,0.416512,0.329785,0.652481
_30_threshold_delta_1.25^3,0.966908,0.970969,0.912323,0.887959,0.854471,0.818448,0.948515,0.873530,0.684230,0.578852,0.822430
_RMS_linear,10.040031,8.908678,11.366079,12.163696,13.283152,13.399852,10.191506,12.385249,15.908956,16.928238,12.939987
_RMS_log,0.284222,0.279554,0.379430,0.397291,0.418877,0.446214,0.294484,0.398867,0.440569,0.487072,0.391707
_SILog,0.084286,0.083894,0.149710,0.162036,0.178182,0.204882,0.092077,0.164704,0.192324,0.233228,0.161398
_abs_rel_diff,0.237871,0.215214,0.332950,0.355909,0.386528,0.429162,0.232183,0.368628,0.425522,0.494567,0.361006
_mean_depth_error,7.699516,6.488643,8.383711,9.152022,10.243521,10.382560,7.484212,9.570346,13.013016,14.069214,10.131284
_mean_prediction_depth,35.629347,32.384182,28.409210,29.872493,32.428864,30.016159,35.060223,30.754645,40.301869,40.082431,34.517741
_mean_target_depth,35.689143,32.431417,28.403514,29.862268,32.443813,30.008026,35.122998,30.772642,40.289848,40.076544,34.532842
_median_diff,2.514534,2.529351,4.331808,4.449568,4.020383,4.989760,3.453609,4.121997,3.607507,4.025421,3.785018
_median_prediction_depth,34.508254,30.629223,28.463464,30.157003,32.232077,30.295908,34.382003,30.215643,40.971564,40.222534,34.284681
_median_target_depth,32.809293,28.686013,24.682840,25.919923,28.646246,25.840640,31.363457,26.464570,38.278712,38.729062,31.379153
_squ_rel_diff,0.099189,0.086255,0.220946,0.268197,0.323706,0.411364,0.105395,0.267954,0.415320,0.615538,0.313544
_threshold_delta_1.25,0.570107,0.639483,0.469770,0.445891,0.418759,0.395123,0.613085,0.410542,0.387302,0.364024,0.463212
_threshold_delta_1.25^2,0.894975,0.900109,0.769810,0.752060,0.726270,0.686574,0.883013,0.739684,0.696608,0.659152,0.761647
_threshold_delta_1.25^3,0.974916,0.973228,0.911555,0.898165,0.880614,0.853963,0.965594,0.895026,0.877125,0.846153,0.902160
