METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_30_threshold_delta_1.25^2,0.795708,0.931041,0.881899,0.741611,0.731443,0.648621,0.863233,0.772273,0.580954,0.396061,0.693198
_30_threshold_delta_1.25^3,0.952921,0.982873,0.980135,0.911755,0.918200,0.835313,0.960921,0.928966,0.813751,0.649378,0.866685
_RMS_linear,10.723535,8.480072,9.440315,11.470571,11.742454,12.994291,10.123347,11.385736,13.447468,15.604163,12.059765
_RMS_log,0.301283,0.253045,0.282654,0.379526,0.374636,0.434524,0.283889,0.356898,0.375917,0.448566,0.363431
_SILog,0.094981,0.068778,0.083889,0.149964,0.144363,0.196130,0.086010,0.133755,0.145387,0.202049,0.140630
_abs_rel_diff,0.268734,0.199481,0.232614,0.337953,0.329596,0.408410,0.239855,0.324205,0.332558,0.436333,0.327741
_mean_depth_error,8.458505,6.190292,6.579841,8.827453,9.227233,10.165988,7.657438,8.832892,10.943890,12.906179,9.510570
_mean_prediction_depth,35.503253,32.256799,28.271999,29.866094,32.449068,30.021850,34.868330,30.707184,40.404764,40.158202,34.495308
_mean_target_depth,35.670961,32.411026,28.328923,29.861388,32.458421,30.012836,35.062120,30.747582,40.360018,40.127316,34.539131
_median_diff,2.593838,2.869598,2.608433,3.728389,3.668242,4.465003,3.091118,3.373658,3.779705,4.044504,3.557725
_median_prediction_depth,34.597691,31.150565,26.850677,29.312871,32.040663,29.884137,34.029187,29.317234,41.120115,40.748910,34.167545
_median_target_depth,32.785418,28.683618,24.602024,25.921083,28.662109,25.845305,31.287143,26.450519,38.335294,38.800582,31.387700
_squ_rel_diff,0.125154,0.068537,0.100286,0.216279,0.195161,0.352275,0.108500,0.191493,0.237903,0.468828,0.235765
_threshold_delta_1.25,0.515655,0.656169,0.617252,0.436310,0.428387,0.392905,0.588039,0.441563,0.462084,0.403400,0.475867
_threshold_delta_1.25^2,0.859237,0.928724,0.876284,0.760967,0.775163,0.696931,0.885721,0.789058,0.789655,0.699275,0.790880
_threshold_delta_1.25^3,0.969657,0.983564,0.968204,0.915992,0.929625,0.868977,0.971659,0.931419,0.928258,0.871202,0.925761
