METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.454665,4.525718,5.103877,3.679621,4.047512,4.803533,4.504385,4.309076,6.331804,7.000677,5.223549
_mean_prediction_depth,35.051527,32.084919,28.123695,29.559445,32.185208,29.787648,34.640748,30.708389,39.744599,39.435966,34.114568
_mean_target_depth,35.513684,32.360117,28.341709,29.735460,32.351629,29.940474,35.022923,30.779002,40.020350,39.824959,34.389623
_median_diff,1.819725,2.095625,2.177625,1.993231,2.410108,2.373675,2.366089,2.962262,2.362345,3.259878,2.423454
_median_prediction_depth,33.775457,30.517730,26.573954,27.738043,30.940475,27.871568,33.464927,29.349300,39.681182,39.514474,33.052611
_median_target_depth,32.610973,28.602518,24.591926,25.828321,28.576075,25.764390,31.224436,26.461236,37.957323,38.465791,31.225193
_squ_rel_diff,0.085366,0.051109,0.082986,0.038951,0.043793,0.065452,0.039204,0.051583,0.069284,0.098943,0.063410
_threshold_delta_1.25,0.666219,0.801253,0.738611,0.853519,0.838644,0.773742,0.833643,0.798387,0.760227,0.704824,0.775969
_threshold_delta_1.25^2,0.925789,0.960314,0.943572,0.973739,0.963126,0.947650,0.976118,0.947743,0.951595,0.922749,0.950639
_threshold_delta_1.25^3,0.985059,0.989271,0.983500,0.993287,0.988873,0.984517,0.993974,0.981787,0.987623,0.978344,0.986716
