METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_30_threshold_delta_1.25^2,0.910024,0.940106,0.950926,0.936120,0.917704,0.842888,0.927557,0.929627,0.675303,0.539662,0.823259
_30_threshold_delta_1.25^3,0.980765,0.976585,0.983611,0.979598,0.969631,0.936251,0.976319,0.979946,0.853870,0.776337,0.924395
_RMS_linear,9.559195,7.573812,8.017483,7.388658,8.036177,9.854738,8.528125,8.563355,12.541879,13.959766,9.873960
_RMS_log,0.259460,0.232708,0.230063,0.238942,0.263551,0.317606,0.241827,0.259894,0.341604,0.390772,0.290635
_SILog,0.069601,0.060317,0.054934,0.061404,0.072677,0.110504,0.062322,0.071142,0.122522,0.156569,0.092413
_abs_rel_diff,0.219912,0.167317,0.175182,0.176060,0.184472,0.256672,0.180357,0.204244,0.297699,0.359639,0.236571
_mean_depth_error,7.259637,5.267653,5.177494,5.107456,5.662270,7.063384,6.042947,6.171883,9.948917,11.319859,7.390328
_mean_prediction_depth,35.420480,32.265229,28.220219,29.812774,32.377794,30.003875,34.788531,30.694831,40.265379,40.134461,34.440722
_mean_target_depth,35.618362,32.418447,28.320736,29.832800,32.422443,30.002300,35.027461,30.733354,40.275678,40.114221,34.508975
_median_diff,2.573056,2.739841,2.550901,2.528950,2.931527,3.297941,3.395847,3.175817,3.321097,3.964721,3.140279
_median_prediction_depth,34.711259,31.212552,26.578236,28.255810,31.432819,28.664488,34.440765,29.399435,40.373293,40.445301,33.759383
_median_target_depth,32.723533,28.666137,24.577808,25.898322,28.632486,25.838533,31.238029,26.438174,38.243373,38.773261,31.351165
_squ_rel_diff,0.081679,0.057226,0.067700,0.058193,0.062634,0.146894,0.061769,0.070411,0.199840,0.306096,0.130116
_threshold_delta_1.25,0.600055,0.752907,0.755694,0.724137,0.709545,0.596450,0.720825,0.640190,0.526135,0.459629,0.626331
_threshold_delta_1.25^2,0.925860,0.946063,0.940739,0.938708,0.930014,0.853856,0.941388,0.931735,0.828908,0.758080,0.884609
_threshold_delta_1.25^3,0.986191,0.983564,0.980798,0.982047,0.976769,0.944910,0.984927,0.979329,0.940042,0.913564,0.961711
