METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.659043,5.572588,5.622714,6.215705,6.448103,7.597758,5.871331,5.834967,9.290959,9.244466,7.182838
_mean_prediction_depth,35.654891,32.520048,28.348745,29.862831,32.458151,30.087215,35.189866,30.833536,40.289657,40.154061,34.569915
_mean_target_depth,35.702084,32.520766,28.364443,29.856095,32.457327,30.057045,35.196217,30.826409,40.283148,40.128311,34.566190
_median_diff,2.485602,3.094097,3.394040,3.659762,3.629742,4.502940,3.915374,3.508543,3.788426,4.233409,3.696053
_median_prediction_depth,34.828962,31.704723,27.728401,29.441833,32.191019,30.127526,35.311044,29.905622,41.157566,41.712556,34.646142
_median_target_depth,32.841328,28.815969,24.631040,25.920562,28.664907,25.898002,31.432287,26.503483,38.275802,38.779858,31.419390
_squ_rel_diff,0.073180,0.060522,0.086064,0.085991,0.097556,0.165432,0.069183,0.095861,0.119343,0.150164,0.105607
_threshold_delta_1.25,0.672770,0.709583,0.652080,0.629016,0.637206,0.536942,0.724877,0.649992,0.535762,0.554917,0.620040
_threshold_delta_1.25^2,0.937795,0.942678,0.890440,0.893794,0.889234,0.827148,0.934350,0.902261,0.877144,0.846779,0.890005
_threshold_delta_1.25^3,0.987265,0.982595,0.973890,0.967256,0.963627,0.934435,0.975269,0.963159,0.970240,0.958933,0.966526
