METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_30_threshold_delta_1.25^2,0.673459,0.803797,0.820179,0.798334,0.754279,0.670868,0.783147,0.714958,0.482353,0.342819,0.647528
_30_threshold_delta_1.25^3,0.939647,0.948570,0.948728,0.931511,0.927214,0.849001,0.923342,0.904736,0.759008,0.601130,0.846718
_RMS_linear,11.235495,10.124232,9.771264,10.513030,11.155926,12.267496,10.931974,10.984939,14.735880,16.577515,12.387492
_RMS_log,0.388823,0.381268,0.396923,0.401330,0.402859,0.459682,0.393786,0.434591,0.415652,0.476417,0.419829
_SILog,0.150829,0.146239,0.157403,0.161187,0.160876,0.213130,0.154629,0.191858,0.171872,0.223791,0.176936
_abs_rel_diff,0.296797,0.274959,0.282513,0.301837,0.308310,0.384882,0.282215,0.323814,0.377348,0.476246,0.345504
_mean_depth_error,9.255200,8.106113,7.443440,8.156676,8.844291,9.657870,8.792522,8.662318,12.118609,13.788930,10.000898
_mean_prediction_depth,36.996306,33.898151,29.330312,30.753870,33.644411,30.691068,36.753516,31.806891,40.742150,40.153999,35.429312
_mean_target_depth,36.517111,33.311712,28.919584,30.358370,33.137241,30.402598,36.119884,31.394369,40.550052,40.118937,35.065138
_median_diff,5.846940,6.365876,5.035945,5.901309,6.019333,6.365453,7.140186,6.429308,4.398531,4.072120,5.657387
_median_prediction_depth,39.378931,35.985810,30.292768,32.243304,35.313485,32.369191,39.516702,33.502605,42.436758,40.470161,37.067922
_median_target_depth,33.650156,29.637049,25.288528,26.357860,29.319745,26.291924,32.396751,27.079175,38.525123,38.766029,31.918298
_squ_rel_diff,0.137687,0.118236,0.130227,0.151253,0.159316,0.301635,0.128043,0.180744,0.303066,0.555766,0.248516
_threshold_delta_1.25,0.439758,0.475834,0.492438,0.446772,0.432458,0.389887,0.462446,0.429399,0.407211,0.366377,0.424285
_threshold_delta_1.25^2,0.832036,0.872161,0.846170,0.826475,0.827976,0.737805,0.872212,0.795316,0.743959,0.668462,0.789016
_threshold_delta_1.25^3,0.970192,0.969763,0.953058,0.948130,0.951217,0.888996,0.961177,0.935824,0.909489,0.854644,0.926960
