METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.594961,5.251573,4.896179,5.123358,5.594613,6.676774,6.046739,5.864636,8.648672,10.610102,6.530761
_mean_prediction_depth,35.385111,32.284858,28.292075,29.816404,32.400097,30.029266,34.857624,30.778726,40.236617,40.147973,33.422875
_mean_target_depth,35.623277,32.437896,28.367388,29.837726,32.435731,30.020784,35.066156,30.794080,40.263039,40.124069,33.497015
_median_diff,2.701595,2.961222,2.766600,3.135135,3.344441,3.703263,3.606375,4.161817,3.511851,4.191265,3.408356
_median_prediction_depth,34.978804,31.589687,27.268166,28.967604,31.904283,29.192158,34.772701,30.559986,41.033585,40.998177,33.126515
_median_target_depth,32.731921,28.693629,24.645966,25.900982,28.643217,25.854375,31.275390,26.482169,38.229450,38.771654,30.122875
_squ_rel_diff,0.077877,0.071957,0.080950,0.073524,0.081203,0.154372,0.075304,0.090437,0.145662,0.255357,0.110664
_threshold_delta_1.25,0.661949,0.748533,0.768187,0.716276,0.709350,0.629477,0.728236,0.681219,0.611772,0.497719,0.675272
_threshold_delta_1.25^2,0.932770,0.929767,0.936005,0.925183,0.917051,0.854406,0.932676,0.903923,0.881492,0.793275,0.900655
_threshold_delta_1.25^3,0.984627,0.976807,0.979161,0.975952,0.972394,0.943319,0.979635,0.972539,0.960463,0.929018,0.967391
