METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.726811,5.453872,5.147023,5.957502,6.116668,7.398895,6.252430,6.440107,9.289597,11.572096,7.035500
_mean_prediction_depth,35.353028,32.263426,28.253330,29.861841,32.406101,30.079282,34.848178,30.722363,40.347111,40.162084,33.429674
_mean_target_depth,35.605311,32.430645,28.344018,29.866068,32.441238,30.053486,35.077599,30.761512,40.326567,40.132690,33.503913
_median_diff,2.632501,2.862968,2.888726,3.126010,3.091958,4.069545,3.566050,3.953798,3.594986,4.206072,3.399261
_median_prediction_depth,34.845082,31.393161,27.221694,28.907889,31.589890,29.566455,34.731495,30.188544,40.997692,40.785241,33.022714
_median_target_depth,32.718309,28.705450,24.626552,25.926861,28.652575,25.905531,31.292132,26.460009,38.290963,38.815468,30.139385
_squ_rel_diff,0.078893,0.071089,0.077877,0.095458,0.085215,0.170800,0.077637,0.099825,0.167199,0.339212,0.126320
_threshold_delta_1.25,0.649031,0.730519,0.741085,0.643796,0.673452,0.566249,0.711343,0.633529,0.565414,0.457968,0.637238
_threshold_delta_1.25^2,0.929652,0.930346,0.927746,0.896236,0.909953,0.834839,0.926817,0.887696,0.857402,0.750727,0.885141
_threshold_delta_1.25^3,0.984598,0.979621,0.978912,0.966870,0.972243,0.936466,0.979221,0.965627,0.952917,0.902908,0.961938
