METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_mean_depth_error,6.561057,5.753957,5.954229,6.596430,6.901977,7.990803,6.459067,6.835592,10.921206,13.184926,7.715924
_mean_prediction_depth,35.512312,32.329452,28.342566,29.871479,32.400180,30.017301,34.990128,30.768593,40.345313,40.106402,33.468373
_mean_target_depth,35.626963,32.413710,28.357089,29.862990,32.426683,30.009300,35.100352,30.783803,40.320624,40.097100,33.499861
_median_diff,2.612121,2.717638,3.015274,3.345462,3.200134,3.723734,3.082134,3.241178,4.230569,4.089203,3.325745
_median_prediction_depth,34.729136,31.096011,27.203051,28.952951,31.536571,29.073237,34.083388,29.419695,41.868791,40.506851,32.846968
_median_target_depth,32.747066,28.645823,24.640549,25.921464,28.630627,25.845535,31.313940,26.473371,38.307109,38.762056,30.128754
_squ_rel_diff,0.072431,0.070217,0.087795,0.110341,0.113013,0.214452,0.079061,0.114181,0.236736,0.500033,0.159826
_threshold_delta_1.25,0.654098,0.693609,0.644987,0.590183,0.613067,0.529223,0.694300,0.590060,0.480283,0.393831,0.588364
_threshold_delta_1.25^2,0.931288,0.924015,0.911243,0.877648,0.880863,0.802374,0.917894,0.877303,0.791843,0.689214,0.860368
_threshold_delta_1.25^3,0.981952,0.980462,0.972841,0.963542,0.962652,0.919572,0.978668,0.963732,0.927462,0.866013,0.951690
